Category,Puzzle,Letters
Phrase,YOU MADE ME BLUSH,F B H A
Show Biz,POLICE DRAMA,C D M A
Thing,A BRISK PACE,H C F A
Person,FISHING BUDDY,H G M I
Thing,JUKEBOX,C D P O
Things,COMPOUND WORDS,C F P O
Phrase,LOADS OF FUN,M D H O
Fun & Games,KNOCK-KNOCK JOKE,
Around the House,BUNK BEDS,D F C O
Thing,PURE GENIUS,P D C A
Fun & Games,AEROBICS CLASS,H F M O
Place,MUSEUM WING,H D P I
Thing,COAT OF VARNISH,C H D A
Place,PHOTO LAB,M D C A
Phrase,SHOP AROUND,
Thing,OATH OF OFFICE,F M B O
Thing,SPARK PLUG,B H C I
Place,EXIT RAMP,M C D O
Thing,CHARISMA,H D C A
Thing,A LOUD VOICE,G C M A
Proper Name,BOB DYLAN,C D B O
Things,JEAN SHORTS,C H D O
Around the House,LEAKY FAUCET,C D M A
Phrase,LIVING ABROAD,
Phrase,FIGHT THE URGE,H D C O
Place,FOOTPATH,P C G A
Thing,UPHILL CLIMB,C M P A
Thing,BLAZING SPEED,H C P A
Thing,DAILY DIARY,M C G I
Living Thing,INCHWORM,D M C O
Thing,DEBIT CARD,C D M A
Phrase,PLAYING A HUNCH,
Event,HEAVY DOWNPOUR,D M C O
Thing,HIGH FIVE,D M C O
Person,VISIONARY,Y I G H
Person,CRYBABY,P C D A
Things,HYPHENS & DASHES,C D M I
Event,PARTIAL ECLIPSE,D Z C I
Phrase,THUMBS UP,P M U C
Thing,HUGE WINDFALL,D G M I
On the Map,BEIJING,C B H I
Thing,A GOOD LAUGH,C M G A
People,YOUTH GROUP,C M P A
Phrase,WRONG WAY,D K C I
Thing,FOLKSY CHARM,P H D I
Thing,MILK JUG,C M P A
Thing,TOUGH EXAM,
Thing,KHAKI UNIFORM,M C G A
Person,WORKAHOLIC,
Person,BLOGGER,C D M A
Phrase,BY THE WAY,B G C I
Thing,GOLF HAT,P D H O
Fictional Place,UTOPIA,C H P A
On the Map,JUNEAU,P M C O
Thing,PAYCHECK,
Phrase,FULL OF INTRIGUE,
Phrase,STAY FOCUSED,M H D A
Thing,OFF-ROAD VEHICLE,C D M O
Phrase,HOLD THE MAYO,C D H O
Place,COZY CAFE,
Thing,FORMAL BOW TIE,C B P I
Person,CUTE KID,M D C A
Place,VANTAGE POINT,D M H A
Phrase,I'M SKEPTICAL,I H P C
Phrase,KEEP IT HANDY,P I K W
Thing,BLANK FORM,D C P I
Thing,CIVIC DUTY,C D M I
Thing,UNIQUE FLAVOR,D M H A
Event,MAIDEN VOYAGE,C D P O
Things,WOOL SOCKS,H C P I
Fun & Games,JIGSAW PUZZLE,Z W J I
Thing,BIRDBATH,
Phrase,RAY OF HOPE,P D M A
Thing,WISECRACK,D M C O
Thing,SIBLING RIVALRY,C P H O
Thing,SHARP CURVE,C M D A
Person,DOUBLE AGENT,C B G A
Thing,FOAM RUBBER,C D M O
Phrase,BLIND LUCK,G H M A
Food & Drink,CHEWY LICORICE,C D B I
On the Map,YUMA & PHOENIX,C P D I
Phrase,ABOVE AVERAGE,P C D A
Place,HUMBLE ABODE,C D W A
Person,SLOWPOKE,M F C A
Phrase,FAIR ENOUGH,H M C A
Living Thing,YOUNG PUP,M D P A
Things,KILOGRAMS,C D P O
Thing,PEACH FUZZ,C P G O
Event,BLOWOUT,C M P O
Thing,FOOLPROOF PLAN,B C M A
Thing,LOVE POEM,C G D O
Living Things,PACK OF WOLVES,F M D O
Phrase,ASK YOUR DOCTOR,P D M A
Thing,AERIAL FOOTAGE,C D P A
Thing,FACE VALUE,F P M I
Place,CABBAGE PATCH,M D C A
Phrase,MIXED SIGNALS,C P Y A
Thing,DUFFEL BAG,D P M A
Place,BALCONY,G D M I
Phrase,FIGURE IT OUT,
Person,NAUGHTY BOY,C F G A
Thing,QUICK GLIMPSE,P C H O
Event,SOPHOMORE YEAR,C M P I
Phrase,LAUGH IT UP,G H P I
People,GRANDKIDS,C D M O
Phrase,OVER AND OUT,V D C O
Person,FIFTH GRADER,H M C A
Show Biz,TV JUDGE,M C P O
Phrase,HEROIC EFFORT,C P M O
Thing,BOOKMARK,M P D O
Thing,OAK BENCH,D C G I
Phrase,WE THINK ALIKE,C D B I
Phrase,FULLY QUALIFIED,M C H A
People,VARSITY SQUAD,Y B C O
Things,DOUBLE COUPONS,
Event,HIGH TIDE,M D B I
Place,OPERA HOUSE,
Thing,PUBLIC OPINION,M G D A
Phrase,FLIP A COIN,P D M A
Things,PSYCHIC POWERS,C D P A
Thing,HOT WAX,C M P A
Phrase,RIGHT ON CUE,C P G A
Show Biz,RAVE REVIEW,D H B A
Phrase,JUST WIN,C B M A
Thing,VIVID MEMORY,M P D A
Thing,BIKE CHAIN,C G M A
Thing,DIGITAL IMAGE,D M C O
Thing,VAGUE NOTION,C M H A
Things,JUICY TIDBITS,
Thing,ANTIQUE TRUNK,D H C A
Thing,NIFTY TRICK,
Thing,WHIRLPOOL,C H P O
Things,AUDIO AND VIDEO,P C D O
Thing,BOLD MOVE,C D P I
Place,HOME GYM,C M P A
Phrase,VALID POINT,C M P O
Thing,MAGIC WAND,C D G I
Phrase,DO ME A FAVOR,
Thing,SHINY COIN,P C D I
Phrase,OFF THE HOOK,C D M O
Person,GOLF PRO,C M P O
Thing,WILD GUESS,C D H O
Person,AVID FAN,M D C O
Thing,TRIVIA QUIZ,G C P A
Thing,DINOSAUR EXHIBIT,G B M A
Things,SOAPSUDS,D M C A
Food & Drink,MUFFIN TOPS,
Thing,CLIPBOARD,
Thing,VINTAGE CLOTHING,C D M A
Phrase,QUIRK OF FATE,M P D A
Phrase,WAY TO GO,C D G O
Food & Drink,GOOEY TAFFY,D M C A
Thing,TIGHT GRASP,C H P I
Thing,WORTHY CAUSE,C D G I
Phrase,DOWN TO THE WIRE,H C M O
Things,ADVERBS & ADJECTIVES,P M G A
Thing,A GOOD VIBE,D F M I
Things,GUSTY WINDS,
Phrase,GIVE AND TAKE,M B G O
Thing,SQUARE PEG,D G C I
Phrase,HURRY BACK,
Place,FASHION BOUTIQUE,M H C O
Phrase,OUTSIDE THE BOX,D F M I
Phrase,BUCKLE UP,D P G U
Thing,PLAID BLOUSE,B M D O
Thing,KARAOKE MACHINE,B C D O
Phrase,HOLY COW,B D M A
Thing,KEYHOLE,
Phrase,A WINK AND A NOD,D C M A
Occupation,BIG-LEAGUE UMPIRE,C P M A
Show Biz,MEDIA BLITZ,M F D I
Event,EPIC JOURNEY,D M H O
Thing,BANQUET TABLE,B D C A
Person,OVERACHIEVER,D H M A
Thing,GOOSE BUMPS,
Show Biz,SMOOTH JAZZ,C M G A
Phrase,A WIDE VARIETY,
Phrase,OUT OF BOUNDS,C B D O
Thing,SOLEMN VOW,M G C A
Phrase,SQUEAKY CLEAN,C M P A
Place,BAGGAGE CLAIM,C M P O
Living Thing,GIANT SQUID,D C M A
Thing,FANCY FOOTWORK,C P M A
Thing,DIRECT QUOTE,D H M A
Phrase,COURT IS ADJOURNED,D M F A
Thing,LOW WHISPER,P B H I
Place,BIKE PATH,D C F A
Thing,SAFETY VALVE,H B W I
Thing,LIP BALM,P B M A
Thing,LIQUID SOAP,C M G I
Person,UNDERDOG,
Thing,FIGURE EIGHT,
Occupation,TV ANCHOR,
Thing,GLIMMER OF HOPE,B M P O
Thing,TOUGH JOB,C G H O
Thing,SHAVING KIT,G C M A
Thing,PARQUET FLOOR,B C D A
Thing,COWBOY HAT,H M D A
Thing,HAZY MORNING,B M P I
Thing,BRIEF PAUSE,C D H O
Things,KHAKI PANTS,P C D A
People,TASK FORCE,C P D O
Phrase,I HAD A HUNCH,C D H I
Thing,QUILTED HANDBAG,C D H O
Fun & Games,A BRISK JOG,C D M A
Thing,VIRTUAL TOUR,V C M U
Thing,SOFT WHISPER,C D M A
Things,LOFTY AMBITIONS,F G D I
Phrase,JUST PEACHY,C H D A
Thing,HIGH PRAISE,C D H A
Thing,YOUTHFUL OUTLOOK,C B G O
Phrase,SQUEAKING BY,C D G I
Thing,JOURNAL PAGE,G P H A
Thing,CLAY FIGURINE,M P C I
Thing,A HUGE IMPACT,C M P A
People,CHOSEN FEW,
Things,MUSIC VIDEOS,C M D A
Place,MAIN OFFICE,M D P I
Thing,BEAUTY MARK,C M G I
Phrase,GIVE IT A WHIRL,G V W I
Phrase,ROUGHING IT,G M P I
Phrase,LUCKY BREAK,C D H A
Thing,HAIR DYE,C M P A
Event,VICTORY LAP,C G D O
Phrase,GO FIGURE,
Phrase,HIT IT BIG,G M H I
Thing,FLIGHT PATH,P H D A
Phrase,BUY NOW,D H M O
Phrase,A WAY WITH WORDS,H D B A
Phrase,TOUCH BASE,H P C A
Phrase,EQUAL FOOTING,M C W A
Phrase,FRUITS OF YOUR LABOR,C P F A
Phrase,WISHFUL THINKING,C M G A
Thing,BOILING POINT,G P M A
Phrase,HALF A DOZEN,C D M I
Phrase,CLOSE PROXIMITY,C P M O
Phrase,OUTFOXED AGAIN,C M P A
Phrase,MAYBE SOMEDAY,
People,WHIZ KIDS,M C H A
Thing,FIELD GUIDE,
Thing,SOUND ADVICE,C D M A
Place,FARAWAY GALAXY,C B H A
People,YOUNG COUPLE,C D M I
Person,BOY GENIUS,P B C A
Thing,GOOD PUBLICITY,M D C O
Things,OFFICIAL DUTIES,
Thing,CHEW TOY,P M B O
Place,VOTING BOOTH,C H M O
Thing,ORIGINAL IDEA,D M C I
Things,WIND CHIMES,M F D A
Thing,HEARTY LAUGH,C H M O
Phrase,IN THE VICINITY,H M C I
Phrase,MAXIMUM PROFITS,P C M A
Phrase,KNOW THE ROPES,H P M I
Thing,DOOR PRIZE,M C D A
Thing,IGNITION SWITCH,D M C O
Phrase,HAPPY TO HELP,D H P O
Thing,GIFT BOX,D M F O
Phrase,FORGE AHEAD,H C F O
Thing,POWER SUPPLY,M D P I
Thing,GAS GAUGE,M C H A
Thing,BRIGHT SPOT,F D C I
Thing,PSYCHIC ABILITY,C D G O
Phrase,ENOUGH TO GO AROUND,C D P O
Thing,APPOINTMENT BOOK,
Thing,FORCE OF GRAVITY,G Y B O
Place,LOG CABIN,C M H A
Person,ONE OF THE GUYS,F G H U
Thing,GROCERY BAG,D C A M
Thing,TAXI FARE,H M P O
Phrase,JOINED AT THE HIP,D M C I
Phrase,BLAZE OF GLORY,F B P O
Thing,UPBEAT MOOD,C D G O
Thing,OLIVE BRANCH,C P D O
Phrase,IN HOT PURSUIT,
Person,LOYAL VIEWER,
Thing,WEB BROWSER,D B P A
Thing,GROUP HUG,C B G I
Thing,CARBON COPY,
Phrase,THE PLOT THICKENS,
Thing,TOP DRAWER,
Phrase,THINK AGAIN,H M C A
Thing,WOOL CAP,C M P A
Person,FOLK HERO,C B H O
Thing,SHARP VISION,P C H A
Thing,GUITAR PICK,M H P A
Thing,COIN PURSE,H D M O
Things,VALUABLE OBJECTS,C H Y A
Thing,HOWLING WIND,B C D O
Phrase,I APPRECIATE THE OFFER,P M C O
Thing,PHYSICAL ACTIVITY,F P C A
Thing,QUEST FOR KNOWLEDGE,M D C I
Thing,AN ONGOING PROCESS,C D G A
Phrase,IMAGINE THAT,C D M A
Place,WINE BAR,C D M O
Things,RHYMING WORDS,P C M A
Phrase,PAVE THE WAY,M P K A
Thing,QUICK PEEK,C D P A
Thing,FONDUE POT,
Phrase,JOKE AROUND,F P M O
Phrase,BEYOND A DOUBT,D P M A
Phrase,I'M PUZZLED,M D B I
Phrase,VERY HUSH-HUSH,Y V H U
Phrase,PICK UP THE PACE,G H C A
Thing,SQUARE KNOT,
People,HIP CROWD,C D H A
Phrase,TWO OF A KIND,C H M A
Phrase,ON THE HORIZON,
Event,A BIG WIN,C F M I
Things,HOME MOVIES,
Thing,SPRAY PAINT,P H B A
Things,BRAIN WAVES,D P G I
Thing,COMPANY LOGO,C H M A
Phrase,SNUGGLE UP,P D M U
Phrase,LAW OF AVERAGES,M D B I
Phrase,WALKING ON AIR,D G P A
Thing,OUTWARD APPEARANCE,D C H O
Phrase,GO FOR THE GOLD,H M D O
Thing,LONG HAUL,D C H I
Phrase,PART OF THE BARGAIN,
Thing,HEAVY-DUTY EQUIPMENT,M P C A
Thing,PUNCH BOWL,C P D I
Person,BODYBUILDER,M D C A
Thing,LOGICAL CONCLUSION,C D M A
Phrase,SCHOOL OF THOUGHT,P F C O
Phrase,CAUGHT OFF-GUARD,D M C O
Thing,SKETCHPAD,H C G A
Phrase,KEEP YOUR RECEIPT,M H C O
Thing,JUICY GOSSIP,H G P A
Phrase,BELOW THE SURFACE,C D M I
Thing,PROPER TECHNIQUE,D M H A
Phrase,FITS LIKE A GLOVE,B D P A
Phrase,THE PERFECT MIX,
Event,PHOTO FINISH,M C Y A
Phrase,ACTING ON IMPULSE,G C M O
Person,BRIDEGROOM,C D H A
Phrase,BUZZING WITH EXCITEMENT,
Phrase,CHOW DOWN,C M D A
Thing,POSITIVE ATMOSPHERE,M P C O
Thing,HONEYMOON PERIOD,
Thing,WORKBENCH,D C M A
Person,AWARD RECIPIENT,M H C O
Phrase,EXACT CHANGE,C P G A
Phrase,INDULGE YOURSELF,D M C I
Thing,COZY BLANKET,C P M O
Fun & Games,ROYAL FLUSH,H D C A
Thing,PAPERWEIGHT,M D C A
Thing,EXPERT OPINION,D M G I
Thing,A FOREIGN LANGUAGE,G P M O
Phrase,IN THE GROOVE,G D H O
Place,FOOD COURT,B P C O
Phrase,WAIT A WHILE,C M D A
Phrase,PURE COINCIDENCE,
Phrase,MOVING FORWARD,D P C O
Things,JUMPING JACKS,D M P I
Thing,BELLY FLOP,
Phrase,THROW A BASH,
Thing,NIGHTGOWN,D C M I
Thing,FAIR WEATHER,M C D O
Thing,PATIO COVER,
Thing,PREVIOUS PAGE,D M P I
Thing,BOOK OF POEMS,D F H O
Phrase,KNOCK ON WOOD,C P B I
Place,HOBBY SHOP,D P C O
Thing,BROAD APPEAL,
Phrase,VOICE OF EXPERIENCE,C P D O
Person,FAITHFUL SIDEKICK,D C M A
Thing,SOFTWARE UPDATE,C K P O
Things,PREFIX AND SUFFIX,C P D O
Thing,RISKY MANEUVER,C M P A
Place,BEHIND THE PODIUM,C K W O
Thing,CURIOSITY,
Event,BLOWING A FUSE,
Thing,OFF-THE-CUFF REMARK,C D P I
Thing,FLEXIBLE SCHEDULE,P M B A
Things,HIKING BOOTS,C D M A
Thing,FRIENDLY WAGER,B D H I
Person,JAZZ MUSICIAN,C K M I
Phrase,A SHOW OF HANDS,
Thing,PUNCTUATION MARK,C D P O
Person,SAVVY SHOPPER,C P H I
Phrase,DOUBLE WHAMMY,
Things,BANJO STRINGS,C D P I
Thing,WINDOW DISPLAY,C M P I
Thing,BOOMERANG,C P M A
Thing,FAR-FETCHED IDEA,D P G A
Event,GIFT EXCHANGE,C D M A
Place,FRONT YARD,H P D I
Thing,POPULAR OPINION,
Food & Drink,WEDGE OF LIME,C H F O
Thing,BODY LANGUAGE,P M G A
Food & Drink,JUICY BEEF,C M P A
Phrase,QUALITY TIME,D P C O
Thing,VISUAL IMAGE,C M D O
Phrase,TAKE A BOW,
Thing,FLATBED TRUCK,D K M I
Phrase,YOU HOLD THE KEY,C M D A
Thing,BEAR HUG,D M W O
Phrase,I'M AWAKE,D C M I
Event,HAPPY HOUR,P H D I
Event,ACT OF HEROISM,H C D O
Living Things,HAWKS AND DOVES,M P D O
Thing,QUICK DECISION,C H F O
Thing,OVERCOAT,H G P O
Phrase,ON A WHIM,
Place,PIZZA JOINT,M H P I
Thing,BACKBONE,H B G O
Phrase,WARM AND FUZZY,D C H A
Person,GROWN-UP,C D G O
Thing,MUSIC MIX,B M D O
Person,ANONYMOUS DONOR,D A M C
Person,TOUGH GUY,C W P O
Thing,VOLUME KNOB,D H C O
Thing,A HUGE FAVOR,C K H A
Things,JOKES AND PUNS,D C P A
Phrase,GOOF AROUND,C M H I
Thing,HEAVY FOG,H D M A
Thing,OFFICE EQUIPMENT,M D C A
Thing,VIEWFINDER,D P H A
Phrase,GOOD GRIEF,
Phrase,JOIN FORCES,G C H A
Phrase,ONWARD AND UPWARD,D M P A
Thing,A FIRM GRIP,M C D A
Phrase,FLASH OF GENIUS,D C P I
People,JUGGLERS AND CLOWNS,D C P A
Living Thing,BABY KOALA,B M D A
Phrase,AHEAD OF THE CURVE,C B M A
Thing,DAYLIGHT,C D P A
Thing,SECOND CHOICE,P D H A
Things,SHOULDER PADS,C H M A
Thing,TOUCHY SUBJECT,H D C A
Phrase,I WAS MISQUOTED,D P H A
Thing,SMOOTH MOVE,H D M I
Place,MAIN LOBBY,G D A P
Thing,OPEN-DOOR POLICY,P D Y O
Thing,BRIEF CHAT,F D C A
Place,GHOST TOWN,C H M O
Phrase,IT'S BAFFLING,D P M O
Thing,POWER SOURCE,H M C A
Thing,TEXTBOOK,D C P A
Things,BLACK TIGHTS,H C D A
Thing,CHEMICAL FORMULA,H D M A
Person,FORMER BOYFRIEND,B P M O
Phrase,NO QUESTION ABOUT IT,Q B H O
Thing,VIVID DREAM,F D B I
Place,BUSY HIGHWAY,P C M O
Person,LIGHTWEIGHT CHAMP,M H C A
People,YOUNG FOLKS,D G C A
Things,PSYCHIC PREDICTIONS,C H D O
Thing,VALUABLE INSIGHT,C M D O
Thing,A LUMP SUM,F G P A
What Are You Doing?,KEEPING WATCH,D C H A
Phrase,LOFTY HEIGHTS,F M W A
Thing,VALID OPTION,C D M A
Things,BRAINS AND BRAWN,A B M P
Thing,AGE-OLD RIVALRY,P C G A
Thing,HINDSIGHT,
Thing,JOB OFFER,M P C I
Phrase,SQUAT DOWN,D M G O
Thing,WAX FIGURE,P C H O
What Are You Doing?,GIVING BACK,D G M I
Thing,HAND TOWEL,C D M O
Phrase,ON THE DOUBLE,B G C O
Phrase,PUCKER UP,B C M A
Thing,A HIGH VOICE,C M D A
Thing,BACKGROUND MUSIC,M C D I
Thing,HAZY SKY,D P F O
Thing,A KNOWN FACT,C D M I
Place,CLOTHING BOUTIQUE,P D H A
Thing,COVERED BRIDGE,D M B A
What Are You Doing?,WASHING UP,G P M I
Thing,ACOUSTIC GUITAR,
People,YOUTH OF TODAY,
Event,NIGHTFALL,G H F A
Fun & Games,KAYAKING,C D P A
Phrase,WORK IT OUT,G M A C
Thing,EXCLUSIVE CLUB,C H M A
Event,BIKE TOUR,C D M O
Thing,BIG VOCABULARY,C P G O
Thing,HOUSE KEY,D C M O
Phrase,JUMP UP AND DOWN,D F B A
Phrase,MAJOR OVERHAUL,M C D O
Thing,FUEL GAUGE,C P K A
Thing,NIFTY GADGET,D C M A
Place,PRIVATE COURTYARD,
People,THE WHOLE FAMILY,P M C O
What Are You Doing?,OPENING THE VAULT,H G D I
Thing,PATIO AWNING,G Y H A
Living Thing,PINK ORCHID,G K M I
People,JAZZ BAND,D M C A
Person,AVID HIKER,B H P O
Phrase,POUR IT ON,M Y D O
Thing,DRAWBRIDGE,D C H A
Person,NOISY NEIGHBOR,G H B O
Phrase,IN A JIFFY,D C M I
Thing,EXPERT ADVICE,F D H A
Phrase,IT MIGHT HAPPEN,D M H I
Thing,HAIR BRAID,
Thing,MOVING VAN,G D H I
People,JUNIOR VARSITY SQUAD,M P B A
Thing,STRICT CURFEW,M H C A
Event,MEDICAL BREAKTHROUGH,C P M A
Phrase,THE RIGHT APPROACH,H D Y I
Place,TOWNSHIP,H D M O
Phrase,VAST MAJORITY,J C D A
Phrase,WORTH THE RISK,H F C A
Thing,AWARD PLAQUE,C P H A
Thing,HOW-TO GUIDE,D G P O
Thing,HOURLY WAGE,C D Y A
Phrase,WIGGLE ROOM,M P D O
Thing,LOUD OVATION,C P Y O
Thing,POINT OF VIEW,M D C I
Thing,GREAT AMBITION,
Phrase,HAVE FAITH,D H M O
Person,BODYGUARD,D M C A
Phrase,TOUGH ACT TO FOLLOW,
Phrase,HIGHLY ORGANIZED,
Phrase,WHAT A KICK,G H B O
Phrase,BY A WIDE MARGIN,M C F A
Thing,FLAGPOLE,D B M I
Things,FOUR QUARTS,
Place,PUBLIC WALKWAY,P M D O
Things,GIGABYTES,M P D I
Thing,GORGEOUS BOUQUET,H M P A
Phrase,AS YOU WISH,H D M I
Phrase,KID STUFF,D M H O
Phrase,FOOD FOR THOUGHT,D C M U
Phrase,A SIGN FROM ABOVE,G F B A
Phrase,LAUGH IT OFF,G H F I
Thing,BUS ROUTE,B C F U
Thing,COMPUTER KEYBOARD,C P M O
Phrase,HOW KIND,D P B A
Thing,JUDGE'S GAVEL,
Phrase,GO QUIETLY,H M F O
Phrase,GIFT OF GAB,C M H O
Phrase,A MIXED BAG,C D M A
Phrase,SOLID PROOF,P M C A
What Are You Doing?,JOGGING IN PLACE,C D P A
Phrase,WORD TO THE WISE,H D P O
Thing,AUTOGRAPH,
Phrase,HUMBLE BEGINNINGS,D M P O
Thing,GOLF VISOR,D M C O
Thing,BABY FACE,M P D A
Thing,DUNE BUGGY,C D P A
Thing,PURE GOLD,C P B O
Phrase,I'M FLEXIBLE,M C P A
Things,WOBBLY LEGS,D M P O
Event,EPIC VOYAGE,G D B O
Thing,BOOK JACKET,C M H O
Phrase,GIVE A HOOT,B C D O
Thing,DOGGY DISH,H D C A
Rhyme Time,TOUGH STUFF,C M P O
Phrase,WITHIN YOUR GRASP,P M C O
Show Biz,MEDIA HYPE,H M D A
Thing,A GOOD VIBE,M P F A
Thing,BOBBY PIN,M D H A
Thing,BACK POCKET,H D C A
Thing,PHOTO EXHIBIT,
Thing,INGENIOUS DEVICE,C D P A
Thing,FOCAL POINT,H C M A
Things,QUALIFICATIONS,D P C I
Thing,SQUARE FOOTAGE,C D M A
Thing,TRAVEL VOUCHER,H G B O
Thing,BRIGHT OUTLOOK,M H D O
Thing,HOT TOPIC,H B C O
Thing,BOLD TYPEFACE,H D Y A
Things,WOOL GLOVES,D F M O
Thing,DAILY BLOG,
Thing,BLACK GOWN,M B C O
Phrase,QUITE A JOLT,
Thing,UNUSUAL HOBBY,D H C A
Thing,PHONE JACK,C D P O
Phrase,PIPING HOT,C H P O
Phrase,LOOKS YUMMY,
Phrase,AT THE BUZZER,C D H A
Phrase,FILL THE VOID,P M D O
Thing,PAID INVOICE,H D M I
Thing,AWKWARD PHASE,H M C O
Thing,HUGE EGO,M D H O
Thing,WEB VIDEO,B C D I
Phrase,I'M HOPEFUL,M C H I
Phrase,MIGHTY PROUD,D H P A
Place,BANQUET ROOM,M C D O
Thing,CROWDED SUBWAY,C H D A
Phrase,BUY IN BULK,M F C O
Phrase,CABIN FEVER,B V M A
Thing,BACKFLIP,D M C A
Things,BITE-SIZE PIECES,C D H A
Phrase,FAR BEHIND,G C P I
Thing,ROUGH PATCH,M Y H I
Place,COMFY HOME,C P M A
Event,JOB FAIR,B G H O
Thing,POUND SIGN,G D M A
Thing,HOCKEY LEAGUE,D C F A
Thing,VAGUE IDEA,C D M O
Phrase,I WON'T BUDGE,
Thing,CORKBOARD,C D B A
Phrase,HOLD OUT HOPE,C B M A
Phrase,I'M JUST TOO BUSY,P M C O
Food & Drink,MOIST BROWNIES,D C G A
Thing,CALYPSO BEAT,M P H O
Living Thing,YOUNG CALF,D F C A
Thing,BALE OF HAY,H C D A
Thing,BANJO MUSIC,H C F I
Thing,FULL-BODIED FLAVOR,B C P A
Food & Drink,ORANGE GUMDROPS,G M H O
Thing,GOOD ADVICE,
Place,BINGO PARLOR,P C M A
Thing,PARTY FAVOR,D M G A
Thing,STOCK QUOTE,C G D A
Phrase,CASH FLOW,B G H O
Phrase,AN EASY FIX,M D C A
Thing,CHROME FINISH,M D C A
Phrase,CLIMB ABOARD,P M D O
Phrase,FLIGHTS OF FANCY,C D H O
Phrase,AWFULLY NICE,Y C H I
Phrase,UP FOR GRABS,D P H A
Place,BANK VAULT,B K V A
Thing,LOUD GASP,C M K I
Thing,DOUBLE KNOT,M D B A
Thing,BROWN BAG,C D H A
Event,BRIEF VISIT,B D H I
Phrase,GOOD GUESS,G D C A
Things,PERKS OF THE JOB,H C B I
Thing,BUMPER STICKER,M P C A
Phrase,BRACE YOURSELF,C D M O
Phrase,TOYING WITH THE IDEA,C M D O
People,NEWLYWED COUPLE,
Phrase,OFF THE RACK,
Thing,FAVORITE MUG,J K G A
Phrase,GIVE IT AWAY,D P H I
Thing,GLOBE,G C M O
Place,WILDLIFE PARK,P K G A
Places,QUAINT SHOPS,P D G I
Phrase,MAKE IT OFFICIAL,C D F O
Thing,LOADED GIFT CARD,D M F A
Place,IN THE FOREGROUND,H D B A
Thing,HIGHWAY SIGN,D M P O
Thing,CALMING VOICE,G M D A
Thing,SUNDAY BUFFET,H M D A
Phrase,I BLEW IT,P M H A
Phrase,LIKE A HAWK,
Event,LONG JOURNEY,J G Y O
Phrase,IT COULD HAPPEN,C H M I
Place,TAXI STAND,C D M O
Phrase,FAR AND WIDE,D M P A
Thing,SOYBEAN,C D M I
People,PEP SQUAD,D G H A
Phrase,COME HELP OUT,H D M O
Thing,ATHLETIC BUILD,D C M A
Things,FOUR ACES,H D P A
Phrase,I'M HALFWAY HOME,M D C A
Phrase,AVERAGE HEIGHT,D M H I
Thing,BUS TOKEN,B K M O
Phrase,GOOD TO KNOW,G D M O
Phrase,SKIM THE SURFACE,
Phrase,WRONG WAY,C G D A
Food & Drink,BABY PEAS,
Thing,DIALOGUE,D M P A
Thing,FLIGHT BAG,C M D A
Phrase,HIGH QUALITY,C D H I
Phrase,A HAPPY MEDIUM,C H P I
Things,WEDDING VOWS,G C D A
Event,BLACK-TIE AFFAIR,B F C A
Phrase,JUST BROWSING,G P C I
Person,GOLDEN BOY,
Person,WORLD CHAMP,B Y D A
Thing,GIFT VOUCHER,
Around the House,JUNK DRAWER,D C M A
Phrase,TOP PRIORITY,M B P A
Event,PIZZA PARTY,P C M I
Phrase,TOUGH BUT FAIR,M C P O
Thing,A QUIET MOMENT,
Thing,PRECIOUS CARGO,C P G A
Phrase,KEEP PLUGGING AWAY,
Phrase,AVAILABLE NOW,C M W A
Phrase,SKIP AHEAD,D M P A
Things,COWBOY BOOTS,D M C A
Thing,A HUGE HIT,G M C A
Thing,DAILY WORKOUT,W D B O
Phrase,PRIDE & JOY,H C D A
Phrase,LOW IMPACT,
People,THE WHOLE GANG,D H M A
Phrase,MAKE A WISH,H M D O
Thing,KIND OFFER,G C M O
Phrase,BOOKED SOLID,D M C I
Thing,HIGH FIVE,B C D A
Phrase,BE QUICK ABOUT IT,C D P A
Person,HOMEBUYER,
Thing,PLYWOOD,P C M A
Phrase,BOUNCE BACK,
Thing,PATCHWORK QUILT,C H M A
Thing,PURE GENIUS,D M C A
Phrase,BACK ME UP,B D M A
Thing,HOUSEWARMING GIFT,G D P O
Things,VIVID COLORS,C M F O
Phrase,ON YOUR OWN,C M D O
People,KIDS OF ALL AGES,D P M A
Thing,HOMETOWN FAVORITE,D C K I
Phrase,PLAYING A HUNCH,D G B A
Thing,BIKE ROUTE,P M C O
Thing,WIND-UP TOY,
Person,PRO BOWLER,D M C A
Thing,TACKLE BOX,H C D A
Phrase,LIVING PROOF,G V D O
Thing,WICKER CHAIR,D H C A
Thing,SKYLIGHT,H D M O
Phrase,BRIDGE THE GAP,D H M A
Thing,GREAT CHOICE,M D P O
Phrase,LOOK OUT BELOW,C G H O
Person,KID BROTHER,G C D A
Thing,THICK FOG,C D M I
Person,UNSUNG HERO,D C H A
Things,WHITE GLOVES,M D P A
Phrase,A BRIGHT FUTURE,G C M A
Phrase,I WOULD BE DELIGHTED,B P H A
People,PANEL OF JUDGES,P F H A
Things,PEAK HOURS,C D M O
Things,BASIC REQUIREMENTS,P D M A
Phrase,FLIP THE SWITCH,P F C I
Phrase,IN THE MIX,C P D O
Fun & Games,LEAPFROG,D C H O
Phrase,IT WILL GROW ON YOU,C P M A
Phrase,ON THE SAME PAGE,P M H O
